Date,Quote
2016-08-22,1338.97
2016-08-19,1341.62
2016-08-18,1352.17
2016-08-17,1348.55
2016-08-16,1345.92
2016-08-15,1339.29
2016-08-12,1336.07
2016-08-11,1338.72
2016-08-10,1346.62
2016-08-09,1340.6
2016-08-08,1335.23
2016-08-05,1335.45
2016-08-04,1361.1
2016-08-03,1358.19
2016-08-02,1363.54
2016-08-01,1353.03
2016-07-29,1350.81
2016-07-28,1335.69
2016-07-27,1339.8
2016-07-26,1320.23
2016-07-25,1315.48
2016-07-22,1322.23
2016-07-21,1331.04
2016-07-20,1315.85
2016-07-19,1331.97
2016-07-18,1328.75
2016-07-15,1337.26
2016-07-14,1335.05
2016-07-13,1342.57
2016-07-12,1333.1
2016-07-11,1355.3
2016-07-08,1366.17
2016-07-07,1360.22
2016-07-06,1363.69
2016-07-05,1356.32
2016-07-04,1350.73
2016-07-01,1341.71
2016-06-30,1322.15
2016-06-29,1319.05
2016-06-28,1311.69
2016-06-27,1324.37
2016-06-24,1315.3
2016-06-23,1256.75
2016-06-22,1266.1
2016-06-21,1268.06
2016-06-20,1289.78
2016-06-17,1298.73
2016-06-16,1278.45
2016-06-15,1291.75
2016-06-14,1285.53
2016-06-13,1283.76
2016-06-10,1273.72
2016-06-09,1269.67
2016-06-08,1262.64
2016-06-07,1243.63
2016-06-06,1245.21
2016-06-03,1244.25
2016-06-02,1211.01
2016-06-01,1212.93
2016-05-31,1215.15
2016-05-30,1205
2016-05-27,1212.83
2016-05-26,1219.74
2016-05-25,1224.14
2016-05-24,1227.14
2016-05-23,1248.93
2016-05-20,1252.19
2016-05-19,1254.55
2016-05-18,1258.47
2016-05-17,1278.84
2016-05-16,1274.2
2016-05-13,1273.12
2016-05-12,1263.66
2016-05-11,1277.34
2016-05-10,1265.75
2016-05-09,1263.79
2016-05-06,1287.72
2016-05-05,1277.68
2016-05-04,1279.6
2016-05-03,1286.53
2016-05-02,1291.4
2016-04-29,1292.87
2016-04-28,1266.17
2016-04-27,1245.78
2016-04-26,1243.3
2016-04-25,1237.77
2016-04-22,1232.54
2016-04-21,1248.01
2016-04-20,1244.22
2016-04-19,1250.12
2016-04-18,1232.5
2016-04-15,1233.85
2016-04-14,1227.79
2016-04-13,1242.4
2016-04-12,1255.41
2016-04-11,1257.74
2016-04-08,1238.84
2016-04-07,1240.33
2016-04-06,1222.27
2016-04-05,1231.22
2016-04-04,1215.48
2016-04-01,1222.62
2016-03-31,1232.43
2016-03-30,1224.9
2016-03-29,1241.87
2016-03-28,1221.55
2016-03-24,1216.72
2016-03-23,1216.81
2016-03-22,1219.99
2016-03-21,1248.15
2016-03-20,1243.71
2016-03-17,1255.2
2016-03-16,1257.78
2016-03-15,1262.38
2016-03-14,1232.29
2016-03-13,1235.15
2016-03-11,1250.6
2016-03-10,1272.15
2016-03-09,1253.02
2016-03-08,1261.34
2016-03-07,1267.17
2016-03-04,1259.23
2016-03-03,1264.13
2016-03-02,1239.92
2016-03-01,1232.06
2016-02-29,1238.5
2016-02-26,1222.31
2016-02-25,1232.95
2016-02-24,1228.69
2016-02-23,1225.59
2016-02-22,1208.65
2016-02-19,1226.25
2016-02-18,1230.79
2016-02-17,1208.41
2016-02-16,1200.33
2016-02-15,1208.88
2016-02-12,1237.88
2016-02-11,1246.58
2016-02-10,1197.05
2016-02-09,1188.95
2016-02-08,1189.01
2016-02-05,1173.69
2016-02-04,1155.37
2016-02-03,1142.45
2016-02-02,1129
2016-02-01,1128.37
2016-01-29,1118.08
2016-01-28,1115.17
2016-01-27,1124.95
2016-01-26,1119.78
2016-01-25,1107.86
2016-01-22,1097.88
2016-01-21,1101.16
2016-01-20,1100.71
2016-01-19,1087.02
2016-01-18,1089.14
2016-01-15,1088.72
2016-01-14,1078.26
2016-01-13,1093.5
2016-01-12,1086.37
2016-01-11,1094.21
2016-01-08,1104.37
2016-01-07,1108.95
2016-01-06,1093.48
2016-01-05,1077.53
2016-01-04,1074.49
2016-01-01,1060.54
2017-12-29,1302.9
2017-12-28,1294.78
2017-12-27,1286.87
2017-12-26,1282.75
2017-12-25,1274.5
2017-12-22,1274.35
2017-12-21,1266.36
2017-12-20,1265.33
2017-12-19,1261.46
2017-12-18,1262.08
2017-12-15,1255.13
2017-12-14,1252.7
2017-12-13,1255.28
2017-12-12,1244.36
2017-12-11,1241.9
2017-12-08,1248.31
2017-12-07,1247.06
2017-12-06,1263.17
2017-12-05,1265.76
2017-12-04,1275.81
2017-12-01,1280.23
2017-11-30,1274.74
2017-11-29,1283.63
2017-11-28,1293.74
2017-11-27,1294.37
2017-11-24,1287.93
2017-11-23,1290.6
2017-11-22,1291.82
2017-11-21,1280.35
2017-11-20,1276.63
2017-11-17,1293.87
2017-11-16,1278.46
2017-11-15,1277.93
2017-11-14,1280.16
2017-11-13,1278.08
2017-11-10,1275.35
2017-11-09,1284.9
2017-11-08,1281.12
2017-11-07,1275.13
2017-11-06,1281.8
2017-11-03,1269.75
2017-11-02,1275.85
2017-11-01,1274.49
2017-10-31,1270.86
2017-10-30,1276.1
2017-10-27,1273.64
2017-10-26,1266.86
2017-10-25,1277.23
2017-10-24,1276.56
2017-10-23,1282.04
2017-10-20,1280.33
2017-10-19,1289.87
2017-10-18,1280.9
2017-10-17,1284.97
2017-10-16,1294.92
2017-10-13,1303.6
2017-10-12,1293.51
2017-10-11,1291.54
2017-10-10,1287.79
2017-10-09,1283.83
2017-10-06,1276.36
2017-10-05,1268.17
2017-10-04,1274.72
2017-10-03,1271.44
2017-10-02,1270.76
2017-09-29,1279.7
2017-09-28,1287
2017-09-27,1282.61
2017-09-26,1293.95
2017-09-25,1310.53
2017-09-22,1297.15
2017-09-21,1291.01
2017-09-20,1301.07
2017-09-19,1310.93
2017-09-18,1307.4
2017-09-15,1320.07
2017-09-14,1329.45
2017-09-13,1322.96
2017-09-12,1331.61
2017-09-11,1327.24
2017-09-08,1346.29
2017-09-07,1348.88
2017-09-06,1334.07
2017-09-05,1339.5
2017-09-04,1333.3
2017-09-01,1324.87
2017-08-31,1321.21
2017-08-30,1308.44
2017-08-29,1309.12
2017-08-28,1309.88
2017-08-25,1291.13
2017-08-24,1286.21
2017-08-23,1290.65
2017-08-22,1284.93
2017-08-21,1291.68
2017-08-18,1283.85
2017-08-17,1287.81
2017-08-16,1282.94
2017-08-15,1271.34
2017-08-14,1281.95
2017-08-11,1289.15
2017-08-10,1286.09
2017-08-09,1277.09
2017-08-08,1260.89
2017-08-07,1257.63
2017-08-04,1258.56
2017-08-03,1268.29
2017-08-02,1266.44
2017-08-01,1268.68
2017-07-31,1269.24
2017-07-28,1269.38
2017-07-27,1259.39
2017-07-26,1260.96
2017-07-25,1249.88
2017-07-24,1255.14
2017-07-21,1251.37
2017-07-20,1244.34
2017-07-19,1241.05
2017-07-18,1242.18
2017-07-17,1233.87
2017-07-14,1228.42
2017-07-13,1217.34
2017-07-12,1220.3
2017-07-11,1217.53
2017-07-10,1214.19
2017-07-07,1212.73
2017-07-06,1224.97
2017-07-05,1226.84
2017-07-04,1223.1
2017-07-03,1219.88
2017-06-30,1241.42
2017-06-29,1245.29
2017-06-28,1249.08
2017-06-27,1246.99
2017-06-26,1244.04
2017-06-23,1256.52
2017-06-22,1250.24
2017-06-21,1246.29
